NNID;DATUM;OBA;NAME;AGS;ARS;RS;HOEHE;HOEHE_GER;EWZ;EWZ_GER;GEWK;GEMTEIL;VIRTUELL;GEMEINDE;VERWGEM;RECHTS;HOCH
DEBKGGND00001ET3;30.10.2020;AX_Gemeinde;Lobbach;8226104;82265002104;82265002104;;;2352;;;Nein;Nein;Lobbach;Elsenztal;491907.21578834736;5469278.04783042
DEBKGGND00001ET4;30.10.2020;AX_Gemeinde;Herdecke;5954020;59540020020;59540020020;;;22755;;;Nein;Nein;Herdecke;Herdecke;390794.2305178355;5695410.545785092
DEBKGGND00001ET5;30.10.2020;AX_Gemeinde;Hamm;5915000;59150000000;59150000000;;;179916;;;Nein;Nein;Hamm;Hamm;418203.2398233132;5725922.710065782
DEBKGGND00001ET6;30.10.2020;AX_Gemeinde;Merchweiler;10043113;100430113113;100430113113;;;9872;;;Nein;Nein;Merchweiler;Merchweiler;359243.6439015352;5469417.809124191
DEBKGGND00001ET7;30.10.2020;AX_Gemeinde;Dassow;13074017;130745459017;130745459017;;;4063;;;Nein;Nein;Dassow;Schînberger Land;629912.3088191797;5975158.840648897
DEBKGGND00001ET8;30.10.2020;AX_Gemeinde;Plîn;1057057;10570057057;10570057057;;;8926;;;Nein;Nein;Plîn;Plîn;592486.820876823;6002059.855340131
DEBKGGND00001ETA;30.10.2020;AX_Gemeinde;Sarmersbach;7233061;72335001061;72335001061;;;176;;;Nein;Nein;Sarmersbach;Daun;348743.6989456982;5567559.393148218
DEBKGGND00001ETC;30.10.2020;AX_Gemeinde;Kleineutersdorf;16074048;160745011048;160745011048;;;355;;;Nein;Nein;Kleineutersdorf;SÅdliches Saaletal;681547.0614677252;5629343.506577807
DEBKGGND00001ETD;30.10.2020;AX_Gemeinde;Pessin;12063240;120635302240;120635302240;;;663;;;Nein;Nein;Pessin;Friesack;748035.1773004184;5838841.865332546
DEBKGGND00001ETF;30.10.2020;AX_Gemeinde;Biersdorf am See;7232015;72325008015;72325008015;;;534;;;Nein;Nein;Biersdorf am See;Bitburger Land;317459.17451760604;5543495.309410485
DEBKGGND00001ETI;30.10.2020;AX_Gemeinde;Gundelfingen a.d. Donau;9773136;97735713136;97735713136;;;7808;;;Nein;Nein;Gundelfingen a.d. Donau;Gundelfingen a.d. Donau;600924.6726511582;5378232.17766532
DEBKGGND00001ETJ;30.10.2020;AX_Gemeinde;Gro·rÅckerswalde;14521250;145210250250;145210250250;;;3356;;;Nein;Nein;Gro·rÅckerswalde;Gro·rÅckerswalde;791680.4142962043;5616823.771683907
DEBKGGND00001ETL;30.10.2020;AX_Gemeinde;Kirchensittenbach;9574135;95740135135;95740135135;;;2123;;;Nein;Nein;Kirchensittenbach;Kirchensittenbach;675150.090065833;5492124.960839255
DEBKGGND00001ETO;30.10.2020;AX_Gemeinde;Weira;16075121;160755005121;160755005121;;;388;;;Nein;Nein;Weira;Oppurg;691747.6844868474;5620321.849393968
DEBKGGND00001ETQ;30.10.2020;AX_Gemeinde;Moosburg a.d. Isar;9178143;91780143143;91780143143;;;18656;;;Nein;Nein;Moosburg a.d. Isar;Moosburg a.d. Isar;716977.4581375862;5372448.073421746
DEBKGGND00001ETR;30.10.2020;AX_Gemeinde;Mahlstetten;8327033;83275004033;83275004033;;;795;;;Nein;Nein;Mahlstetten;Spaichingen;487798.10582130303;5324693.987957747
DEBKGGND00001ETS;30.10.2020;AX_Gemeinde;Moos;8335055;83355003055;83355003055;;;3295;;;Nein;Nein;Moos;Hîri;495060.9614250653;5285853.7609401215
DEBKGGND00001ETT;30.10.2020;AX_Gemeinde;Bergen;14523050;145235402050;145235402050;;;958;;;Nein;Nein;Bergen;JÑgerswald;732459.6201079279;5596121.647138874
DEBKGGND00001ETU;30.10.2020;AX_Gemeinde;MarienmÅnster;5762024;57620024024;57620024024;;;4902;;;Nein;Nein;MarienmÅnster;MarienmÅnster;515819.7579572164;5740963.236875244
DEBKGGND00001ETV;30.10.2020;AX_Gemeinde;Kamp-Bornhofen;7141066;71415009066;71415009066;;;1581;;;Nein;Nein;Kamp-Bornhofen;Loreley;401770.35249168455;5564551.728307691
DEBKGGND00001ETX;30.10.2020;AX_Gemeinde;Dankerath;7131015;71315001015;71315001015;;;75;;;Nein;Nein;Dankerath;Adenau;345282.7633429979;5578726.8920813445
DEBKGGND00001ETY;30.10.2020;AX_Gemeinde;Schliersee;9182131;91820131131;91820131131;;;6933;;;Nein;Nein;Schliersee;Schliersee;714380.4637316258;5291056.129449525
DEBKGGND00001ETZ;30.10.2020;AX_Gemeinde;Leinefelde-Worbis;16061115;160610115115;160610115115;;;20115;;;Nein;Nein;Leinefelde-Worbis;Leinefelde-Worbis;591962.257167876;5693766.311990325
DEBKGGND00001EU0;30.10.2020;AX_Gemeinde;Bad Bayersoien;9180113;91805133113;91805133113;;;1221;;;Nein;Nein;Bad Bayersoien;Saulgrub;649822.1252008487;5283886.175474862
DEBKGGND00001EU1;30.10.2020;AX_Gemeinde;Muchow;13076100;130765657100;130765657100;;;265;;;Nein;Nein;Muchow;Grabow;679175.9488833679;5910517.999393212
DEBKGGND00001EU3;30.10.2020;AX_Gemeinde;IbbenbÅren;5566028;55660028028;55660028028;;;51822;;;Nein;Nein;IbbenbÅren;IbbenbÅren;412310.039061471;5792443.69525144
DEBKGGND00001EU4;30.10.2020;AX_Gemeinde;AltenmÅnster;9772115;97720115115;97720115115;;;4211;;;Nein;Nein;AltenmÅnster;AltenmÅnster;617570.8388053753;5369188.676201598
DEBKGGND00001EU5;30.10.2020;AX_Gemeinde;Ziesendorf;13072121;130725263121;130725263121;;;1436;;;Nein;Nein;Ziesendorf;Warnow-West;699181.724048049;5987110.999131845
DEBKGGND00001EU6;30.10.2020;AX_Gemeinde;Gebesee;16068014;160685002014;160685002014;;;2116;;;Nein;Nein;Gebesee;Gera-Aue;635115.1760329466;5664440.929869334
DEBKGGND00001EU7;30.10.2020;AX_Gemeinde;Winterscheid;7232328;72325006328;72325006328;;;144;;;Nein;Nein;Winterscheid;PrÅm;303911.41755521775;5567958.285017271
DEBKGGND00001EU9;30.10.2020;AX_Gemeinde;Gîldenitz;1053034;10535308034;10535308034;;;228;;;Nein;Nein;Gîldenitz;Berkenthin;607650.9936285109;5953830.474951597
DEBKGGND00001EUA;18.02.2020;AX_Gemeinde;Peenehagen;13071172;130715160172;130715160172;;;1074;;;Nein;Nein;Peenehagen;Seenlandschaft Waren;750484.3088869584;5943324.377508468
DEBKGGND00001EUC;30.10.2020;AX_Gemeinde;Westendorf;9777182;97775751182;97775751182;;;1826;;;Nein;Nein;Westendorf;Westendorf;627954.3433914627;5310196.695874436
DEBKGGND00001EUD;30.10.2020;AX_Gemeinde;Dobbin-Linstow;13072026;130725256026;130725256026;;;480;;;Nein;Nein;Dobbin-Linstow;Krakow am See;720453.8628178556;5946057.097724259
DEBKGGND00001EUE;30.10.2020;AX_Gemeinde;GrÅnhainichen;14521270;145215405270;145215405270;;;3346;;;Nein;Nein;GrÅnhainichen;Wildenstein;792747.4539635284;5632102.989337923
DEBKGGND00001EUG;30.10.2020;AX_Gemeinde;Sand a. Main;9674195;96740195195;96740195195;;;3142;;;Nein;Nein;Sand a. Main;Sand a. Main;613840.9428670353;5538454.4036104465
DEBKGGND00001EUH;30.10.2020;AX_Gemeinde;Wilstedt;3357055;33575407055;33575407055;;;1750;;;Nein;Nein;Wilstedt;Tarmstedt;506198.91708895564;5893936.565073516
DEBKGGND00001EUI;30.10.2020;AX_Gemeinde;Nordermeldorf;1051137;10515175137;10515175137;;;604;;;Nein;Nein;Nordermeldorf;Mitteldithmarschen;500897.9684438639;5995990.605576695
DEBKGGND00001EUK;30.10.2020;AX_Gemeinde;Halle (Westf.);5754012;57540012012;57540012012;;;21577;;;Nein;Nein;Halle (Westf.);Halle (Westf.);456260.7403479272;5768016.126445341
DEBKGGND00001EUL;30.10.2020;AX_Gemeinde;Schînwald im Schwarzwald;8326054;83265003054;83265003054;;;2477;;;Nein;Nein;Schînwald im Schwarzwald;Raumschaft Triberg;440526.4709837692;5327894.910390852
DEBKGGND00001EUM;30.10.2020;AX_Gemeinde;Hecken;7140048;71405004048;71405004048;;;112;;;Nein;Nein;Hecken;Kirchberg (HunsrÅck);385057.06513425807;5530482.351292137
DEBKGGND00001EUO;30.10.2020;AX_Gemeinde;Klietz;15090310;150905052310;150905052310;;;1739;;;Nein;Nein;Klietz;Elbe-Havel-Land;707478.813697875;5839702.85451259
DEBKGGND00001EUP;30.10.2020;AX_Gemeinde;Ziegenhain;7132119;71325004119;71325004119;;;150;;;Nein;Nein;Ziegenhain;Flammersfeld;395809.30727224716;5614894.459238307
DEBKGGND00001EUQ;30.10.2020;AX_Gemeinde;Ebernhahn;7143012;71435010012;71435010012;;;1252;;;Nein;Nein;Ebernhahn;Wirges;412719.3888453247;5591854.06279523
DEBKGGND00001EUS;30.10.2020;AX_Gemeinde;Obermoschel;7333054;73335001054;73335001054;;;1051;;;Nein;Nein;Obermoschel;Alsenz-Obermoschel;411633.76784337265;5509076.08949609
DEBKGGND00001EUU;30.10.2020;AX_Gemeinde;Vogtsburg im Kaiserstuhl;8315133;83150133133;83150133133;;;6097;;;Nein;Nein;Vogtsburg im Kaiserstuhl;Vogtsburg im Kaiserstuhl;397978.51526792254;5327097.523824549
DEBKGGND00001EUV;30.10.2020;AX_Gemeinde;Schwarzatal;16073113;160735012113;160735012113;;;3543;;;Nein;Nein;Schwarzatal;Schwarzatal;651803.380797356;5605646.787554043
DEBKGGND00001EUW;30.10.2020;AX_Gemeinde;Parsau;3151021;31515402021;31515402021;;;1869;;;Nein;Nein;Parsau;Brome;628295.092768201;5822366.433686891
DEBKGGND00001EUX;30.10.2020;AX_Gemeinde;Vorwerk;3357052;33575407052;33575407052;;;1048;;;Nein;Nein;Vorwerk;Tarmstedt;510742.5156915961;5893058.320510321
DEBKGGND00001EUY;30.10.2020;AX_Gemeinde;Mulfingen;8126056;81265002056;81265002056;;;3657;;;Nein;Nein;Mulfingen;Krautheim;558195.0633146625;5465614.978179683
DEBKGGND00001EV0;30.10.2020;AX_Gemeinde;Bad Aibling;9187117;91870117117;91870117117;;;19056;;;Nein;Nein;Bad Aibling;Bad Aibling;725148.9739809376;5305526.390537464
DEBKGGND00001EV1;30.10.2020;AX_Gemeinde;Kirkel;10045115;100450115115;100450115115;;;10039;;;Nein;Nein;Kirkel;Kirkel;371015.50318864494;5460598.052524338
DEBKGGND00001EV3;30.10.2020;AX_Gemeinde;Drolshagen;5966008;59660008008;59660008008;;;11783;;;Nein;Nein;Drolshagen;Drolshagen;414147.85593780427;5653287.683915178
DEBKGGND00001EV7;30.10.2020;AX_Gemeinde;Gersten;3454015;34545405015;34545405015;;;1225;;;Nein;Nein;Gersten;Lengerich;398030.8910670942;5825711.555718224
DEBKGGND00001EV8;30.10.2020;AX_Gemeinde;Gelenberg;7233212;72335004212;72335004212;;;74;;;Nein;Nein;Gelenberg;Kelberg;347795.8423729377;5573144.8130132165
DEBKGGND00001EV9;18.02.2020;AX_Gemeinde;Mainaschaff;9671140;96710140140;96710140140;;;8936;;;Nein;Nein;Mainaschaff;Mainaschaff;506259.13403194305;5536530.412436596
DEBKGGND00001EVA;30.10.2020;AX_Gemeinde;Hîhbeck;3354010;33545403010;33545403010;;;647;;;Nein;Nein;Hîhbeck;Gartow;661033.5464239467;5882751.360232014
DEBKGGND00001EVB;30.10.2020;AX_Gemeinde;Schînefeld;12061433;120610433433;120610433433;;;16270;;;Nein;Nein;Schînefeld;Schînefeld;806623.0459288906;5813705.5904657245
DEBKGGND00001EVC;05.05.2020;AX_Gemeinde;Trippstadt;7335047;73355011047;73355011047;;;3013;;;Nein;Nein;Trippstadt;Landstuhl;410780.8772727726;5467818.749106331
DEBKGGND00001EVD;30.10.2020;AX_Gemeinde;Masserberg;16069061;160690061061;160690061061;;;2188;;;Nein;Nein;Masserberg;Masserberg;639604.6315772886;5598305.232466491
DEBKGGND00001EVE;30.10.2020;AX_Gemeinde;Neroth;7233050;72335006050;72335006050;;;862;;;Nein;Nein;Neroth;Gerolstein;339134.9279998778;5562839.210685969
DEBKGGND00001EVF;30.10.2020;AX_Gemeinde;Grauel;1058062;10585895062;10585895062;;;250;;;Nein;Nein;Grauel;Mittelholstein;544115.3328258174;5991542.127946095
DEBKGGND00001EVH;30.10.2020;AX_Gemeinde;Bobenheim am Berg;7332005;73325002005;73325002005;;;839;;;Nein;Nein;Bobenheim am Berg;Freinsheim;438640.04611196934;5486054.49551395
DEBKGGND00001EVI;30.10.2020;AX_Gemeinde;Gerolfingen;9571154;95715509154;95715509154;;;968;;;Nein;Nein;Gerolfingen;Hesselberg;610354.9685898633;5434468.796149789
DEBKGGND00001EVJ;30.10.2020;AX_Gemeinde;Pulsnitz;14625450;146255231450;146255231450;;;7468;;;Nein;Nein;Pulsnitz;Pulsnitz;850406.080686511;5682057.413240585
DEBKGGND00001EVK;30.10.2020;AX_Gemeinde;Perl;10042115;100420115115;100420115115;;;8581;;;Nein;Nein;Perl;Perl;310630.37996695045;5483338.261187984
DEBKGGND00001EVL;30.10.2020;AX_Gemeinde;Trendelburg;6633025;66330025025;66330025025;;;4892;;;Nein;Nein;Trendelburg;Trendelburg;529818.2436491215;5713912.545621635
DEBKGGND00001EVM;30.10.2020;AX_Gemeinde;Zurow;13074090;130745457090;130745457090;;;1304;;;Nein;Nein;Zurow;Neukloster-Warin;671962.2473512405;5971555.565239238
DEBKGGND00001EVN;30.10.2020;AX_Gemeinde;Neuried;8317151;83170151151;83170151151;;;9695;;;Nein;Nein;Neuried;Neuried;411826.9097934967;5368920.580629528
DEBKGGND00001EVO;18.02.2020;AX_Gemeinde;Stangheck;1059163;10595990163;10595990163;;;204;;;Nein;Nein;Stangheck;Geltinger Bucht;555407.3979067378;6063161.623350879
DEBKGGND00001EVP;30.10.2020;AX_Gemeinde;Hainichen;16074036;160745015036;160745015036;;;194;;;Nein;Nein;Hainichen;Dornburg-Camburg;683976.4229461595;5652691.170240073
DEBKGGND00001EVQ;30.10.2020;AX_Gemeinde;Rastorf;1057066;10575747066;10575747066;;;803;;;Nein;Nein;Rastorf;Preetz-Land;583942.2912358418;6014618.9227103675
DEBKGGND00001EVS;30.10.2020;AX_Gemeinde;Winterbach;8119086;81195003086;81195003086;;;7583;;;Nein;Nein;Winterbach;Schorndorf;535216.1127718498;5405309.995484962
DEBKGGND00001EVT;30.10.2020;AX_Gemeinde;Denkendorf;8116015;81160015015;81160015015;;;11149;;;Nein;Nein;Denkendorf;Denkendorf;523368.27268664935;5393505.884409227
DEBKGGND00001EVU;30.10.2020;AX_Gemeinde;Gro· Sarau;1053043;10535358043;10535358043;;;1013;;;Nein;Nein;Gro· Sarau;Lauenburgische Seen;614509.9475884142;5959509.469920777
DEBKGGND00001EVV;30.10.2020;AX_Gemeinde;Buchdorf;9779126;97795724126;97795724126;;;1849;;;Nein;Nein;Buchdorf;Monheim;634036.7357129313;5405154.8549059825
DEBKGGND00001EVW;30.10.2020;AX_Gemeinde;Vollstedt;1054146;10545494146;10545494146;;;183;;;Nein;Nein;Vollstedt;Mittleres Nordfriesland;502112.72134251165;6052920.821814168
DEBKGGND00001EVX;30.10.2020;AX_Gemeinde;Staudt;7143073;71435010073;71435010073;;;1242;;;Nein;Nein;Staudt;Wirges;416770.26710758073;5590992.667762615
DEBKGGND00001EVY;30.10.2020;AX_Gemeinde;SÅderlÅgum;1054131;10545489131;10545489131;;;2417;;;Nein;Nein;SÅderlÅgum;SÅdtondern;494092.64465174696;6080599.25610422
DEBKGGND00001EVZ;30.10.2020;AX_Gemeinde;Marktrodach;9476183;94760183183;94760183183;;;3764;;;Nein;Nein;Marktrodach;Marktrodach;670016.1443581287;5569100.58247416
DEBKGGND00001EW0;30.10.2020;AX_Gemeinde;Spatzenhausen;9180133;91805137133;91805137133;;;736;;;Nein;Nein;Spatzenhausen;Seehausen a. Staffelsee;664870.242471969;5287791.231984543
DEBKGGND00001EW1;30.10.2020;AX_Gemeinde;Fellheim;9778139;97785761139;97785761139;;;1152;;;Nein;Nein;Fellheim;Boos;585793.3924563752;5325026.720330822
DEBKGGND00001EW2;30.10.2020;AX_Gemeinde;Neubrandenburg;13071107;130710107107;130710107107;;;63761;;;Nein;Nein;Neubrandenburg;Neubrandenburg;782115.8851139926;5942716.990837971
DEBKGGND00001EW3;30.10.2020;AX_Gemeinde;RÅckweiler;7134074;71345001074;71345001074;;;388;;;Nein;Nein;RÅckweiler;Baumholder;372642.4775453168;5493458.9628694495
DEBKGGND00001EW4;30.10.2020;AX_Gemeinde;HambÅhren;3351012;33510012012;33510012012;;;10422;;;Nein;Nein;HambÅhren;HambÅhren;566539.9477346374;5832185.637717451
DEBKGGND00001EW5;30.10.2020;AX_Gemeinde;Waldaschaffer Forst;9671460;96719460460;96719460460;;;0;;;Nein;Nein;Waldaschaffer Forst;Waldaschaffer Forst;523299.7335402444;5532008.971776355
DEBKGGND00001EW7;30.10.2020;AX_Gemeinde;Oberîfflingen;7231100;72315008100;72315008100;;;271;;;Nein;Nein;Oberîfflingen;Wittlich-Land;347358.6770272312;5548082.24439551
DEBKGGND00001EW8;30.10.2020;AX_Gemeinde;Heimborn;7143236;71435002236;71435002236;;;259;;;Nein;Nein;Heimborn;Hachenburg;412118.0402449152;5618203.888606285
DEBKGGND00001EWA;30.10.2020;AX_Gemeinde;Sexau;8316039;83165003039;83165003039;;;3397;;;Nein;Nein;Sexau;Emmendingen;418655.3055868886;5328320.505400922
DEBKGGND00001EWD;30.10.2020;AX_Gemeinde;Romrod;6535014;65350014014;65350014014;;;2627;;;Nein;Nein;Romrod;Romrod;515575.40596877696;5618124.886053161
DEBKGGND00001EWF;30.10.2020;AX_Gemeinde;Biberbach;9772121;97720121121;97720121121;;;3534;;;Nein;Nein;Biberbach;Biberbach;633771.2403982151;5375515.518803625
DEBKGGND00001EWG;30.10.2020;AX_Gemeinde;Beilngries;9176114;91760114114;91760114114;;;9867;;;Nein;Nein;Beilngries;Beilngries;680598.5919721471;5434458.296699575
DEBKGGND00001EWH;30.10.2020;AX_Gemeinde;HochstÑtten;7133045;71335001045;71335001045;;;605;;;Nein;Nein;HochstÑtten;Bad Kreuznach;415884.3909502763;5513114.3984233625
DEBKGGND00001EWI;30.10.2020;AX_Gemeinde;Hangen-Weisheim;7331039;73315007039;73315007039;;;443;;;Nein;Nein;Hangen-Weisheim;Wonnegau;441131.4583784918;5506718.96659875
DEBKGGND00001EWJ;30.10.2020;AX_Gemeinde;Steinbach (Taunus);6434010;64340010010;64340010010;;;10665;;;Nein;Nein;Steinbach (Taunus);Steinbach (Taunus);469440.50859964575;5557363.367657362
DEBKGGND00001EWK;30.10.2020;AX_Gemeinde;SchÅlldorf;1058146;10585888146;10585888146;;;747;;;Nein;Nein;SchÅlldorf;Eiderkanal;547458.1774283273;6017168.618966755
DEBKGGND00001EWM;30.10.2020;AX_Gemeinde;Bargfeld-Stegen;1062005;10625218005;10625218005;;;3054;;;Nein;Nein;Bargfeld-Stegen;Bargteheide-Land;578214.8502630455;5958198.52299719
DEBKGGND00001EWN;30.10.2020;AX_Gemeinde;Augustusburg;14522020;145220020020;145220020020;;;4512;;;Nein;Nein;Augustusburg;Augustusburg;788933.6716426786;5636786.7177853435
DEBKGGND00001EWO;30.10.2020;AX_Gemeinde;Ahlbeck;13075001;130755552001;130755552001;;;597;;;Nein;Nein;Ahlbeck;Am Stettiner Haff;842445.2753715451;5959276.308856654
DEBKGGND00001EWP;30.10.2020;AX_Gemeinde;Hohenstein-Ernstthal;14524120;145240120120;145240120120;;;14527;;;Nein;Nein;Hohenstein-Ernstthal;Hohenstein-Ernstthal;761627.2506058018;5634256.1703705145
DEBKGGND00001EWQ;30.10.2020;AX_Gemeinde;Feilsdorf;7232036;72325008036;72325008036;;;32;;;Nein;Nein;Feilsdorf;Bitburger Land;314130.0503337007;5540674.6903554825
DEBKGGND00001EWR;30.10.2020;AX_Gemeinde;Zell;9372167;93725317167;93725317167;;;1830;;;Nein;Nein;Zell;Wald;748865.7726897019;5448930.418593371
DEBKGGND00001EWS;30.10.2020;AX_Gemeinde;Theilenhofen;9577172;95775532172;95775532172;;;1119;;;Nein;Nein;Theilenhofen;Gunzenhausen;635264.7142658647;5438358.665309186
DEBKGGND00001EWU;30.10.2020;AX_Gemeinde;Gnevkow;13071041;130715163041;130715163041;;;319;;;Nein;Nein;Gnevkow;Treptower Tollensewinkel;774513.7190297131;5968160.2567577185
DEBKGGND00001EWV;30.10.2020;AX_Gemeinde;Nottfeld;1059065;10595974065;10595974065;;;120;;;Nein;Nein;Nottfeld;SÅderbrarup;549633.1101291401;6052629.736066299
DEBKGGND00001EWX;30.10.2020;AX_Gemeinde;Martinshîhe;7335203;73355001203;73355001203;;;1502;;;Nein;Nein;Martinshîhe;BruchmÅhlbach-Miesau;389531.6602652151;5469063.398888352
DEBKGGND00001EWY;18.02.2020;AX_Gemeinde;Pfakofen;9375182;93755337182;93755337182;;;1598;;;Nein;Nein;Pfakofen;Alteglofsheim;736740.3717636799;5416718.670420836
DEBKGGND00001EWZ;30.10.2020;AX_Gemeinde;Gro· Wittensee;1058066;10585890066;10585890066;;;1289;;;Nein;Nein;Gro· Wittensee;HÅttener Berge;549978.3868443252;6028812.909670502
DEBKGGND00001EX0;30.10.2020;AX_Gemeinde;Ingelfingen;8126039;81265003039;81265003039;;;5491;;;Nein;Nein;Ingelfingen;KÅnzelsau;547551.2424905301;5460945.512670987
DEBKGGND00001EX1;30.10.2020;AX_Gemeinde;Bischofrod;16069004;160695002004;160695002004;;;161;;;Nein;Nein;Bischofrod;Feldstein;617817.7721220674;5599716.326271162
DEBKGGND00001EX2;30.10.2020;AX_Gemeinde;Gribbohm;1061031;10615168031;10615168031;;;440;;;Nein;Nein;Gribbohm;Schenefeld;522777.0937222784;5986598.21241255
DEBKGGND00001EX3;30.10.2020;AX_Gemeinde;Vîhringen;8325061;83255006061;83255006061;;;4359;;;Nein;Nein;Vîhringen;Sulz am Neckar;474883.94283420435;5353796.076776238
DEBKGGND00001EX6;30.10.2020;AX_Gemeinde;Ruppertshofen;8136061;81365008061;81365008061;;;1884;;;Nein;Nein;Ruppertshofen;SchwÑbischer Wald;559699.5080907014;5414885.815436329
DEBKGGND00001EX8;30.10.2020;AX_Gemeinde;AltomÅnster;9174111;91740111111;91740111111;;;7960;;;Nein;Nein;AltomÅnster;AltomÅnster;667021.3587760214;5361843.907214565
DEBKGGND00001EX9;30.10.2020;AX_Gemeinde;Wegeleben;15085365;150855051365;150855051365;;;2473;;;Nein;Nein;Wegeleben;Vorharz;649553.2566274569;5750498.966797456
DEBKGGND00001EXA;30.10.2020;AX_Gemeinde;Westendorf;9772217;97725706217;97725706217;;;1645;;;Nein;Nein;Westendorf;Nordendorf;635475.522055876;5381662.78622487
DEBKGGND00001EXB;30.10.2020;AX_Gemeinde;Marsberg;5958024;59580024024;59580024024;;;19540;;;Nein;Nein;Marsberg;Marsberg;489925.13909818284;5700942.0212723045
DEBKGGND00001EXC;30.10.2020;AX_Gemeinde;Kalbach;6631016;66310016016;66310016016;;;6378;;;Nein;Nein;Kalbach;Kalbach;545524.8275535336;5585954.0409765495
DEBKGGND00001EXD;30.10.2020;AX_Gemeinde;Kutzenhausen;9772167;97720167167;97720167167;;;2498;;;Nein;Nein;Kutzenhausen;Kutzenhausen;625503.4479628806;5355685.551624205
DEBKGGND00001EXE;30.10.2020;AX_Gemeinde;Herzhorn;1061037;10615134037;10615134037;;;1127;;;Nein;Nein;Herzhorn;Horst-Herzhorn;531823.4858307542;5959836.482849232
DEBKGGND00001EXG;30.10.2020;AX_Gemeinde;Sipplingen;8435053;84355007053;84355007053;;;2099;;;Nein;Nein;Sipplingen;öberlingen;507372.09932422114;5293678.247238479
DEBKGGND00001EXH;30.10.2020;AX_Gemeinde;Pfungstadt;6432018;64320018018;64320018018;;;25096;;;Nein;Nein;Pfungstadt;Pfungstadt;471055.11268837866;5516669.012455335
DEBKGGND00001EXI;30.10.2020;AX_Gemeinde;Burgwindheim;9471122;94715407122;94715407122;;;1306;;;Nein;Nein;Burgwindheim;Ebrach;614741.6710604973;5520645.619807298
DEBKGGND00001EXJ;30.10.2020;AX_Gemeinde;Menteroda;16064072;160640072072;160640072072;;;1920;;;Nein;Nein;Menteroda;Menteroda;608780.0917230188;5685150.360223228
DEBKGGND00001EXK;30.10.2020;AX_Gemeinde;Uelzen;3360025;33600025025;33600025025;;;33536;;;Nein;Nein;Uelzen;Uelzen;604813.7613603385;5869511.11533801
DEBKGGND00001EXM;30.10.2020;AX_Gemeinde;SÅderheistedt;1051141;10515169141;10515169141;;;537;;;Nein;Nein;SÅderheistedt;Kirchspielslandgemeinden Eider;509676.82534238923;6009659.646644186
DEBKGGND00001EXO;30.10.2020;AX_Gemeinde;Bad Schînborn;8215100;82155001100;82155001100;;;12913;;;Nein;Nein;Bad Schînborn;Bad Schînborn;474722.26298791246;5451901.1062889425
DEBKGGND00001EXP;30.10.2020;AX_Gemeinde;Gîdenroth;7140042;71405003042;71405003042;;;471;;;Nein;Nein;Gîdenroth;Kastellaun;391786.7223387677;5549433.344593978
DEBKGGND00001EXR;30.10.2020;AX_Gemeinde;NÅtzen;1060064;10605043064;10605043064;;;1192;;;Nein;Nein;NÅtzen;Kaltenkirchen-Land;560485.0774721676;5968858.056955081
DEBKGGND00001EXT;30.10.2020;AX_Gemeinde;Olmscheid;7232287;72325001287;72325001287;;;175;;;Nein;Nein;Olmscheid;Arzfeld;301069.6679755028;5549544.804036508
DEBKGGND00001EXU;30.10.2020;AX_Gemeinde;Rimbach;6431019;64310019019;64310019019;;;8610;;;Nein;Nein;Rimbach;Rimbach;482406.99783739116;5496854.933915757
DEBKGGND00001EXV;30.10.2020;AX_Gemeinde;Creglingen;8128020;81280020020;81280020020;;;4681;;;Nein;Nein;Creglingen;Creglingen;574820.3870694607;5480265.591491862
DEBKGGND00001EXX;30.10.2020;AX_Gemeinde;Ruthweiler;7336088;73365010088;73365010088;;;457;;;Nein;Nein;Ruthweiler;Kusel-Altenglan;381862.79233323835;5490198.05886462
DEBKGGND00001EXY;30.10.2020;AX_Gemeinde;Brieden;7135014;71355002014;71355002014;;;130;;;Nein;Nein;Brieden;Kaisersesch;375959.4904406075;5561074.3127909675
DEBKGGND00001EY1;30.10.2020;AX_Gemeinde;Kelbra (KyffhÑuser);15087250;150875051250;150875051250;;;3335;;;Nein;Nein;Kelbra (KyffhÑuser);Goldene Aue;641893.5551851906;5700254.852768163
DEBKGGND00001EY2;30.10.2020;AX_Gemeinde;Reichertshofen;9186147;91865158147;91865158147;;;8268;;;Nein;Nein;Reichertshofen;Reichertshofen;681650.1121951393;5392329.2981178975
DEBKGGND00001EY3;30.10.2020;AX_Gemeinde;Luckaitztal;12066202;120665601202;120665601202;;;779;;;Nein;Nein;Luckaitztal;Altdîbern;845947.7812741277;5738654.93440574
DEBKGGND00001EY5;18.02.2020;AX_Gemeinde;Klempau;1053067;10535308067;10535308067;;;611;;;Nein;Nein;Klempau;Berkenthin;609450.6581341274;5958416.17556046
DEBKGGND00001EY7;30.10.2020;AX_Gemeinde;Waldmohr;7336102;73365009102;73365009102;;;5134;;;Nein;Nein;Waldmohr;Oberes Glantal;379013.20030660665;5471822.207165636
DEBKGGND00001EY8;30.10.2020;AX_Gemeinde;Hohenkammer;9178133;91780133133;91780133133;;;2634;;;Nein;Nein;Hohenkammer;Hohenkammer;686690.6785630377;5366515.461266767
DEBKGGND00001EY9;30.10.2020;AX_Gemeinde;Lahr;7232072;72325005072;72325005072;;;197;;;Nein;Nein;Lahr;SÅdeifel;305671.3065308193;5535930.40360841
