NNID;DATUM;OBA;NAME;AGS;ARS;RS;HOEHE;HOEHE_GER;EWZ;EWZ_GER;GEWK;GEMTEIL;VIRTUELL;GEMEINDE;VERWGEM;RECHTS;HOCH
DEBKGGND0000192I;30.10.2020;AX_Gemeinde;DÑhre;15081095;150815051095;150815051095;;;1464;;;Nein;Nein;DÑhre;Beetzendorf-Diesdorf;628649.3803372863;5851808.536872978
DEBKGGND0000192K;30.10.2020;AX_Gemeinde;Wallstawe;15081545;150815051545;150815051545;;;879;;;Nein;Nein;Wallstawe;Beetzendorf-Diesdorf;636145.9849690615;5851559.717797965
DEBKGGND0000192L;30.10.2020;AX_Gemeinde;Grîditz;14627050;146270050050;146270050050;;;6978;;;Nein;Nein;Grîditz;Grîditz;809257.8371666397;5705069.539385379
DEBKGGND0000192M;30.10.2020;AX_Gemeinde;Nuthe-Urstromtal;12072312;120720312312;120720312312;;;6564;;;Nein;Nein;Nuthe-Urstromtal;Nuthe-Urstromtal;785257.6560523543;5783479.07314922
DEBKGGND0000192N;30.10.2020;AX_Gemeinde;Heilbach;7232047;72325005047;72325005047;;;119;;;Nein;Nein;Heilbach;SÅdeifel;306268.75168187235;5548559.805857537
DEBKGGND0000192P;30.10.2020;AX_Gemeinde;Kruchten;7232069;72325005069;72325005069;;;368;;;Nein;Nein;Kruchten;SÅdeifel;307192.0264463265;5530880.384183463
DEBKGGND0000192R;30.10.2020;AX_Gemeinde;Bad Boll;8117012;81175009012;81175009012;;;5151;;;Nein;Nein;Bad Boll;Raum Bad Boll;545424.6889453948;5387535.969073302
DEBKGGND0000192S;30.10.2020;AX_Gemeinde;Kleinmîlsen;16068032;160685012032;160685012032;;;298;;;Nein;Nein;Kleinmîlsen;Gramme-Vippach;649197.8566868705;5654876.725219108
DEBKGGND0000192V;30.10.2020;AX_Gemeinde;Coswig;14627010;146270010010;146270010010;;;20739;;;Nein;Nein;Coswig;Coswig;820462.2807433258;5673905.431673674
DEBKGGND0000192Y;30.10.2020;AX_Gemeinde;Wackerow;13075141;130755555141;130755555141;;;1441;;;Nein;Nein;Wackerow;Landhagen;783980.4630638922;6003901.028287179
DEBKGGND0000192Z;30.10.2020;AX_Gemeinde;Schechingen;8136062;81365005062;81365005062;;;2233;;;Nein;Nein;Schechingen;Leintal-Frickenhofer Hîhe;567285.072934624;5413811.62613208
DEBKGGND00001930;30.10.2020;AX_Gemeinde;Oderberg;12060176;120605011176;120605011176;;;2170;;;Nein;Nein;Oderberg;Britz-Chorin-Oderberg;839471.8010394553;5869360.121755987
DEBKGGND00001931;30.10.2020;AX_Gemeinde;KÅmbdchen;7140077;71405007077;71405007077;;;491;;;Nein;Nein;KÅmbdchen;Simmern/HunsrÅck;393085.50074436306;5538820.753827103
DEBKGGND00001932;30.10.2020;AX_Gemeinde;Balingen;8417002;84175002002;84175002002;;;34332;;;Nein;Nein;Balingen;Balingen;488970.54694116913;5346970.779689043
DEBKGGND00001934;30.10.2020;AX_Gemeinde;Kornwestheim;8118046;81180046046;81180046046;;;33825;;;Nein;Nein;Kornwestheim;Kornwestheim;513630.8711585661;5412505.318144156
DEBKGGND00001935;30.10.2020;AX_Gemeinde;Horhausen;7141062;71415003062;71415003062;;;299;;;Nein;Nein;Horhausen;Diez;421218.70696773584;5579408.504244118
DEBKGGND00001936;30.10.2020;AX_Gemeinde;Zwînitz;14521710;145215140710;145215140710;;;11927;;;Nein;Nein;Zwînitz;Zwînitz;769502.5672677057;5615614.675949738
DEBKGGND00001938;30.10.2020;AX_Gemeinde;HeckenmÅnster;7231050;72315008050;72315008050;;;137;;;Nein;Nein;HeckenmÅnster;Wittlich-Land;341062.0008770835;5530860.159160213
