Zirndorf Kneippallee;2459.117;2079.207
Zirndorf;2467.574;2072.523
Zinnowitz;4255.383;7316.449
Zimmersrode;1204.167;3793.957
Zimmern bei Seckach;1318.924;2040.039
Zimmern (bei Grünsfeld);1619.194;2224.93
Ziltendorf Nord;4873.975;5283.098
Ziltendorf EKO;4872.013;5280.668
Ziltendorf;4885.734;5267.242
Zillendorf;3716.448;2008.953
Zieverich;-619.9583;3754.23
Ziesar;3298.706;5241.824
Zierenberg-Rosental;1254.458;4191.645
Zierenberg;1260.701;4190.723
Ziepel;3014.167;5094.074
Zielitz Ort;2874.221;5250.75
Zielitz;2876.483;5259.813
Ziegenrück;2923.944;3377.543
Zeven Süd;1236.455;6321.016
Zeven Nord;1229.783;6345.734
Zeven (Han);1236.2;6322.719
Zeutsch;2818.517;3542.855
Zeutern Sportplatz;809.0952;1758.703
Zeutern Ost;832.6006;1760.098
Zeutern;814.4204;1759.004
Zeulenroda unt Bf;3177.161;3450.027
Zerrenthin;4429.087;6685.453
Zernsdorf;4249.437;5334.457
Zerkall;-749.009;3474.008
Zerbst/Anhalt;3171.389;4890.09
Zeppernick (bei Magdeburg);3117.009;5076.582
Zeppenfeld;364.2622;3543.914
Zeppelinheim;765.3252;2712.273
Zepernick (bei Bernau);4115.837;5728.094
Zennern;1271.539;3909.199
Zempin;4293.632;7308.395
Zementfabrik;-288.4849;4234.594
Zellwald;4046.246;3904.742
Zellerthal;3864.842;1826.699
Zellendorf;3846.945;4857.078
Zella-Mehlis West;2214.284;3417.457
Zella-Mehlis;2232.5;3404.535
Zell-Romrod;1189.806;3480.863
Zell (Wiesental);186.021;128.4141
Zell (Harmersbach);355.9746;836.3789
Zeitz;3243.095;3893.758
Zeithain Rohrwerk;4083.98;4254.914
Zeithain;4075.039;4241.023
Zeischa;4123.807;4434.914
Zeil;2194.764;2690.035
Zehlendorf (bei Oranienburg);4013.827;5858.148
Zehdenick-Neuhof;3963.431;6103.266
Zehdenick (Mark);3947.147;6072.25
Zeesen;4211.414;5292.973
Zeddenick (Sachs-Anh);3035.528;5096.574
Zechenbahnhof Piesberg;370.645;5247.848
Zeche Zollverein;-307.7288;4346.273
Zasenbeck;2294.009;5657.938
Zarrentin (Meckl);2316.558;6633.668
Zarrendorf;3707.371;7467.172
Zapfendorf;2431.499;2711.047
Zaisenhausen;915.3267;1676.422
Zahna;3648.371;4874.324
Zachun;2591.008;6593.668
Zabeltitz;4193.226;4268.297
Xanten;-718.0542;4548.73
Wyhlen;63.01611;-46.83594
Wutöschingen;572.5703;76.91016
Wutike;3298.612;6066.105
Wutha;2029.813;3745.945
Wutachblick;688.0757;242.3438
Wustweiler;-378.1357;2022.723
Wustrau-Radensleben;3671.552;5921.773
Wüsting;603.6772;6142.484
Wusterwitz;3343.628;5378.297
Wüstermarke;4218.573;4796.484
Wustermark Rbf;3759.501;5580.563
Wustermark Nord (GVZ);3747.298;5592.988
Wustermark;3719.532;5583.238
Wusterhausen (Dosse);3373.467;5940.219
Wüstenselbitz;2981.969;2951.254
Wüstenhöfen;1503.346;6336.777
Wüstenfelde;3746.078;7456.527
Wüstendittersdorf;3070.486;3353.059
Wüstenbrand;3695.505;3635.25
Wurzen;3651.519;4256.02
Würzburg-Zell;1685.143;2459.27
Würzburg-Heidingsfeld West;1727.603;2411.168
Würzburg-Heidingsfeld Ost;1736.169;2411.055
Würzburg Süd;1727.652;2441.023
Würzburg Rbf;1680.874;2469.469
Würzburg Hbf;1721.988;2456.449
Wurzbach (Thür);2853.384;3221.145
Würzbach (Saar);-266.1104;1848.027
Wurmlingen Nord;880.4351;458.875
Wurmlingen Mitte;883.7471;450.5078
Wurlitz;3178.686;2996.215
Würgendorf Ort;433.4106;3517.328
Würgendorf;442.8145;3520.445
Wuppertal-Vohwinkel;-294.5225;4064.043
Wuppertal-Unterbarmen;-226.5925;4087.895
Wuppertal-Steinbeck Gbf;-253.052;4076.805
Wuppertal-Steinbeck;-250.2271;4078.16
Wuppertal-Sonnborn;-279.2825;4070.672
Wuppertal-Ronsdorf;-196.7573;4049.742
Wuppertal-Oberbarmen;-194.1482;4102.465
Wuppertal-Langerfeld;-174.3293;4109.344
Wuppertal-Hahnenfurth/Düssel;-304.4954;4085.535
Wuppertal-Beyenburg;-141.2539;4074.234
Wuppertal-Barmen;-210.3008;4095.938
Wuppertal Zoologischer Garten;-272.9641;4072.035
Wuppertal Rauenthal;-180.3389;4100.184
Wuppertal Hbf;-241.8604;4082.652
Wunstorf Stadt;1335.238;5377.289
