Alsenz;197.2979;2377.582;0
Alsfeld (Oberhess);1234.433;3506.148;0
Alsheim;575.5015;2413.297;0
Alt Garge;2246.597;6319.777;0
Alt Herzberg;3983.826;4639.973;0
Alt Hüttendorf;4260.659;6068.277;0
Alt Krüssow;3236.849;6223.059;0
Alt Rosenthal;4624.941;5639.715;0
Alt Schwerin;3274.35;6630.953;0
Altbach;1330.111;1251.395;0
Altdöbern;4513.741;4628.832;0
Altdorf (bei Nürnberg);2756.903;2020.438;0
Altdorf West;2749.143;2022.277;0
Altefähr;3742.938;7559.98;0
Altena (Westf);118.8594;4130.215;0
Altenahr;-377.1501;3264.313;0
Altenau (Bay);2547.497;90.41407;0
Altenbamberg;207.2417;2443.305;0
Altenbeken;1007.328;4636.734;0
Altenberge;7.066162;4966.273;0
Altenboitzen;1389.118;5807.859;0
Altenboitzen Dorf;1397.492;5809.879;0
Altenburg;3465.061;3837.855;0
Altenburg Nord;3445.811;3851.773;0
Altenburg-Rasephas;3460.605;3849.633;0
Altenburg-Rheinau;745.4531;74.71875;0
Altenerding;3201.572;816.8086;0
Altenesch;791.0737;6160.742;0
Altenfeld (Rhön);1651.756;3176.914;0
Altenglan;-63.46948;2180.984;0
Altengörs;1938.749;7018.617;0
Altengrabow;3218.269;5163.328;0
Altenhagen;1801.413;5611.242;0
Altenhasungen;1205.899;4166.699;0
Altenhausen;2588.757;5216.641;0
Altenkirchen (Westerwald);85.84888;3441.773;0
Altenmarkt (Alz);3687.209;510.0781;0
Altensalzkoth;1772.612;5723.215;0
Altenschwand;3410.719;1962.238;0
Altenseelbach;338.3711;3547.859;0
Altenstädt;1182.507;4074.23;0
Altenstadt (Hess);1006.319;2986.824;0
Altenstadt (Iller);1874.249;634.2344;0
Altenstadt (Waldnaab);3329.999;2407.047;0
Altenstadt-Höchst;994.4048;2972.445;0
Altenstadt-Lindheim;1032.307;2996.078;0
Altentreptow;3849.342;6863.984;0
Altenwillershagen;3376.454;7468.887;0
Altersbach;2139.89;3462.863;0
Altes Lager;3783.99;4992;0
Altes Lager Bf;3786.123;4990.594;0
Altglashütten-Falkau;387.0107;295.3672;0
Althegnenberg;2579.756;732.6055;0
Altheim (Hess);969.0259;2585.793;0
Altheim (Niederbay);3407.517;1147.445;0
Althengstett;899.5688;1257.563;0
Althof;2961.365;7260.813;0
Altingen (Württ);982.5557;1073.785;0
Altmittweida;3828.818;3824.367;0
Altmorschen;1478.361;3859.992;0
Altmügeln;3867.61;4126.008;0
Altomünster;2718.599;901.6953;0
Altoschatz-Rosenthal;3907.365;4184.395;0
Altötting;3778.172;760.2578;0
Altranft;4476.4;5867.023;0
Altruppin;3643.786;6013.813;0
Altshausen;1459.368;374.5352;0
Altstädten (Allgäu);2013.892;-111.7969;0
Alttann;1642.456;275.7031;0
Altzella;4047.172;3936.082;0
Alverdissen;1133.214;4928.48;0
Alveslohe;1654.125;6892.855;0
Alzenau (Unterfr);1096.197;2771.543;0
Alzenau Burg;1102.286;2770.578;0
Alzenau Nord;1085.07;2771.969;0
Alzey;407.0552;2398.414;0
Alzey Süd;415.2339;2384.152;0
Alzey West;412.0928;2383.148;0
Am Lohbusch;610.728;4262.934;0
Amberg;3124.306;2098.309;0
Amelinghausen-Sottorf;1861.569;6161.594;0
Amerang;3517.632;486.6797;0
